ANO;EQUIPAMENTO;TIPO;LOGRADOURO;VELOCIDADE_VIA;LATITUDE;LONGITUDE
2017;FS011;Fotossensor;RUA PROF. ARNALDO CARNEIRO LEAO, SEMAFORO 544.;60 Km/h;-8.115148399999999;-34.9006181
2017;FS012;Fotossensor;AV. GOV. AGAMENON MAGALHAES, SEMAFORO 173.;60 Km/h;-8.0516928;-34.8950315
2017;FS014;Fotossensor;AV. BOA VIAGEM,  SEMAFORO 104.;60 Km/h;-8.0919008;-34.8820881
2017;FS015;Fotossensor;AV. MARECHAL MASCARENHAS DE MORAES, SEMAFORO 530/531.;60 Km/h;-8.1273728;-34.915517799999996
2017;FS016;Fotossensor;AV. RECIFE, SEMAFORO 336.;60 Km/h;-8.1003544;-34.9282125
2017;FS017;Fotossensor;AV. RECIFE, SEMAFORO 617.;60 Km/h;-8.100547;-34.928082399999994
2017;FS018;Fotossensor;AV. DEZESSETE DE AGOSTO, SEMAFORO 370.;60 Km/h;-8.0277621;-34.928001
2017;FS019;Fotossensor;PONTE DELMIRO GOUVEIA, SEMAFORO 075.;50 Km/h;-8.05671;-34.89797
2017;FS020;Fotossensor;AV. BEBERIBE, SEMAFORO 131.;60 Km/h;-8.0278685;-34.892909100000004
2017;FS021;Fotossensor;AV. ENG. ABDIAS DE CARVALHO, SEMAFORO 328.;60 Km/h;-8.06242;-34.91688
2017;FS022;Fotossensor;RUA REAL DA TORRE, SEMAFORO 237.;50 Km/h;-8.05538;-34.90906
2017;FS023;Fotossensor;AV.NORTE MIGUEL ARRAES DE ALENCAR, SEMAFORO 424;60 Km/h;-8.018274400000001;-34.92830429999999
2017;FS024;Fotossensor;RUA GUILHERME PINTO, SEMAFORO 432.;40 Km/h;-8.05216;-34.90217
2017;FS025;Fotossensor;AV. DESEMBARGADOR JOSÉ NEVES, SEMAFORO 580;50 Km/h;-8.121513199999999;-34.9093425
2017;FS026;Fotossensor;AV. DESEMBARGADOR JOSÉ NEVES, SEMAFORO 400;50 Km/h;-8.1214297;-34.9098383
2017;FS027;Fotossensor;RUA VISCONDE DE JEQUITINHONHA,SEMAFORO 158;60 Km/h;-8.1362834;-34.90358079999999
2017;FS028;Fotossensor;RUA VISCONDE DE JEQUITINHONHA,SEMAFORO 158;60 Km/h;-8.1362834;-34.90358079999999
2017;FS029;Fotossensor;RUA FALCAO DE LACERDA SEMAFORO 285;50 Km/h;-8.0920388;-34.961494099999996
2017;FS030;Fotossensor;AV. LIBERDADE, SEMAFORO 440;50 Km/h;-8.0811109;-34.9683544
2017;FS033;Fotossensor;AV. DR. JOSE RUFINO, SEMAFORO 082.;60 Km/h;-8.08463;-34.92803
2017;FS037;Fotossensor;AV. GOV. AGAMENON MAGALHAES, SEMAFORO 069;60 Km/h;-8.06268;-34.89733
2018;5941;Lombada;AV. MAL. MASCARENHAS DE MORAES, EM FRENTE AEROPORTO - SENT. PRAZERES;60 km/h;-8.1309702;-34.916161200000005
2018;5942;Lombada;AV. MAL. MASCARENHAS DE MORAES, EM FRENTE AEROPORTO - SENT. CENTRO;60 km/h;-8.1306469;-34.9158856
2018;5943;Lombada;AV. BOA VIAGEM - TERCEIRO JARDIM;60 km/h;-8.1078431;-34.8881609
2018;5944;Lombada;DEFRONTE A PCA. GOV. PAULO GUERRA, CABANGA - SENT. PINA;60 km/h;-8.0801208;-34.8921866
2018;5945;Lombada;APOS PONTE AGAMENON MAGALHAES, CABANGA - SENT. DERBY;60 km/h;-8.0808198;-34.891159
2018;5946;Lombada;AV. BOA VIAGEM – EM FRENTE PARQUE DONA LINDU;60 km/h;-8.141066499999999;-34.9032775
2018;5947;Lombada;AV. BOA VIAGEM – EM FRENTE PARQUE DONA LINDU;60 km/h;-8.141066499999999;-34.9032775
2018;5948;Lombada;AV. GOV. AGAMENON MAGALHAES – EM FRENTE REITORIA UPE - SENT. OLINDA;60 km/h;-8.0431659;-34.88586420000001
2018;5949;Lombada;AV. GOV. AGAMENON MAGALHAES – EM FRENTE REITORIA UPE - SENT. OLINDA;60 km/h;-8.0431659;-34.88586420000001
2018;5950;Lombada;AV. GOV. AGAMENON MAGALHAES – PROX. VIADUTO PRES. MEDICI - SENT. DERBY;60 km/h;-8.0415844;-34.8833148
2018;5951;Lombada;AV. GENERAL SAN MARTIN, N. 1864, SENT. AV. RECIFE ;40 km/h;-8.0674689;-34.9278105
2018;5952;Lombada;AV. AFONSO OLINDENSE, N. 996, SENT. CAXANGA ;40 km/h;-8.0395243;-34.9576449
2018;5953;Lombada;AV. MAURICIO DE NASSAU ENTRONCAMENTO 1a. TRV. SANTA LÚCIA, SENT. CENTRO;40 km/h;-8.039192100000001;-34.929838700000005
2018;5954;Lombada;AV. ALFREDO LISBOA, ENTRE OS N. 33 E 18;30 km/h;-8.0637868;-34.871632299999995
2018;5955;Lombada;RUA ARQ. LUIZ NUNES CRUZAMENTO RUA DEOLINDO TAVARES, SENT. SUBURBIO;40 km/h;-8.0874203;-34.9099345
2018;5956;Lombada;RUA PARIS, PRÓXIMO A PARADA DE ÔNIBUS N.020470;50 km/h;-8.1029992;-34.913129999999995
2018;5957;Lombada;AV. CONS. AGUIAR, N. 4620;60 km/h;-8.127873;-34.900242
2018;5958;Lombada;AV. RUI BARBOSA, N. 1397;60 km/h (40km/h ciclofaixa);-8.041157499999999;-34.903343400000004
2018;5959;Lombada;AV. ENG. ANTONIO DE GOES, N. 124;60 km/h (40km/h ciclofaixa);-8.0883266;-34.8837708
2018;5960;Lombada;AV. ENG. JOSÉ ESTELITA - ENTRE PTS. DE ILUM. 19-R e 21-R, SENT. CENTRO;60 km/h (40km/h ciclofaixa);-8.0758569;-34.88745120000001
2018;5961;Lombada;CAIS SANTA RITA, PROX.  AO N. 675 - SENT. CENTRO;60 km/h (40km/h ciclofaixa);-8.0717339;-34.8779064
2018;5962;Lombada;AV. DOM JOAO VI, EM FRT. AO PT. DE ONIBUS N. 010243, IMBIRIBEIRA;50 km/h;-8.1157038;-34.904305
2018;5963;Lombada;AV. REPUBLICA DO LIBANO, N. 115 - PINA - SENT. SUBURBIO;60 km/h;-8.0873199;-34.891254700000005
2018;5964;Lombada;AV. CELSO FURTADO KM 1,5 - SENT. CENTRO;60 km/h;-8.098962799999999;-34.8902929
2018;5965;Lombada;AV. CELSO FURTADO KM 2,4 - SENT. SUBURBIO;60 km/h;-8.1053608;-34.8918783
2018;5966;Lombada;AV. CELSO FURTADO KM 2,5 - SENT. CENTRO;60 km/h;-8.105794099999999;-34.8920917
2018;5967;Lombada;AV. SATURNINO DE BRITO - PROX. A COMPESA, SENT. SUBURBIO;60 km/h;-8.0795908;-34.8927989
